question,answer
Apakah ada penghargaan untuk pendonor?,"Ya, pendonor akan mendapatkan badge digital dan dapat menukarkan poin dengan voucher."
Apakah data saya aman di BloodConnect?,"Ya, BloodConnect menggunakan enkripsi untuk melindungi data pengguna."
Apa saja fitur unggulan di BloodConnect?,"Fitur unggulan meliputi pencarian stok darah real-time, rekomendasi lokasi donor terdekat, dan sistem klasifikasi pendonor."
Apakah BloodConnect bisa dipakai oleh rumah sakit?,"Ya, rumah sakit dapat mendaftar sebagai mitra untuk mengelola stok darah mereka."
Berapa lama proses donor darah?,Sekitar 30-45 menit termasuk pemeriksaan awal dan istirahat.
Apa manfaat donor darah bagi kesehatan?,Meningkatkan produksi sel darah baru dan menjaga kesehatan jantung.
Bagaimana jika ada permintaan darah mendesak?,BloodConnect akan mengirim notifikasi ke pengguna dengan golongan darah yang sesuai di sekitar lokasi.
Apakah ada penghargaan untuk pendonor?,"Ya, pendonor akan mendapatkan badge digital dan dapat menukarkan poin dengan voucher."
Apakah data saya aman di BloodConnect?,"Ya, BloodConnect menggunakan enkripsi untuk melindungi data pengguna."
Apakah BloodConnect bisa menunjukkan lokasi donor terdekat?,"Ya, fitur peta digital akan menunjukkan lokasi donor darah terdekat dari posisi Anda."
Bagaimana cara menjadi pendonor tetap?,"Setelah 3 kali donor dalam 1 tahun, Anda akan otomatis dikategorikan sebagai pendonor tetap."
Apa syarat umum untuk donor darah?,"Usia 17-60 tahun, berat badan minimal 45kg, tidak sedang sakit, dan memiliki tekanan darah normal."
Apa manfaat donor darah bagi kesehatan?,Meningkatkan produksi sel darah baru dan menjaga kesehatan jantung.
Apakah bisa mencari pendonor berdasarkan golongan darah?,"Ya, pengguna dapat mencari pendonor berdasarkan golongan darah melalui fitur pencarian."
Bagaimana cara mendapatkan poin di BloodConnect?,"Poin didapatkan dari aktivitas donor, mengajak teman, dan mengisi survei di aplikasi."
Apakah data saya aman di BloodConnect?,"Ya, BloodConnect menggunakan enkripsi untuk melindungi data pengguna."
Apakah ada fitur prediksi kebutuhan darah?,"Ya, BloodConnect menggunakan model prediksi untuk memperkirakan kebutuhan darah berdasarkan lokasi dan waktu."
Apakah BloodConnect bisa dipakai oleh rumah sakit?,"Ya, rumah sakit dapat mendaftar sebagai mitra untuk mengelola stok darah mereka."
Apa syarat umum untuk donor darah?,"Usia 17-60 tahun, berat badan minimal 45kg, tidak sedang sakit, dan memiliki tekanan darah normal."
Apa manfaat donor darah bagi kesehatan?,Meningkatkan produksi sel darah baru dan menjaga kesehatan jantung.
Apakah bisa mencari pendonor berdasarkan golongan darah?,"Ya, pengguna dapat mencari pendonor berdasarkan golongan darah melalui fitur pencarian."
Bagaimana cara mendapatkan poin di BloodConnect?,"Poin didapatkan dari aktivitas donor, mengajak teman, dan mengisi survei di aplikasi."
Apakah data saya aman di BloodConnect?,"Ya, BloodConnect menggunakan enkripsi untuk melindungi data pengguna."
Apakah BloodConnect bisa menunjukkan lokasi donor terdekat?,"Ya, fitur peta digital akan menunjukkan lokasi donor darah terdekat dari posisi Anda."
Apakah BloodConnect bisa dipakai oleh rumah sakit?,"Ya, rumah sakit dapat mendaftar sebagai mitra untuk mengelola stok darah mereka."
Apa syarat umum untuk donor darah?,"Usia 17-60 tahun, berat badan minimal 45kg, tidak sedang sakit, dan memiliki tekanan darah normal."
Apakah orang dengan tato boleh donor?,"Boleh, jika sudah lebih dari 6 bulan sejak pembuatan tato."
Bagaimana jika ada permintaan darah mendesak?,BloodConnect akan mengirim notifikasi ke pengguna dengan golongan darah yang sesuai di sekitar lokasi.
Bagaimana cara mendapatkan poin di BloodConnect?,"Poin didapatkan dari aktivitas donor, mengajak teman, dan mengisi survei di aplikasi."
Apakah data saya aman di BloodConnect?,"Ya, BloodConnect menggunakan enkripsi untuk melindungi data pengguna."
